;Ýstasyon;Parametre;Min. Deðer;Min. Tarih;Max. Deðer;Max. Tarih;Ort. Deðer;Veri Adeti;Olmasý Gereken Veri;Veri Yüzdesi;Standart Sapma;Toplam Deðer
Ýstasyon: Ankara - Bahçelievler;;;;;;;;;;;;
;Ankara - Bahçelievler;CO;0,07;9.12.2008;13187,18;17.03.2011;842,64;6943;14795;46,93;769,04;5850442,28
;Ankara - Bahçelievler;PM10;1,3;19.08.2019;545,81;6.05.2019;51,14;6822;14795;46,11;39,13;348891,7
;Ankara - Bahçelievler;SO2;0,25;26.08.2010;305,44;3.05.2012;12,92;6597;14795;44,59;17,8;85232,41
;Ankara - Bahçelievler;NOX;3,96;9.02.2020;674,24;5.12.2008;90,52;6334;14795;42,81;80,69;573337,48
;Ankara - Bahçelievler;NO2;0,02;1.12.2008;556,81;6.04.2010;51,63;6330;14795;42,78;32,68;326809,52
;Ankara - Bahçelievler;NO;0;2.05.2008;502,54;23.10.2013;38,71;6322;14795;42,73;56,8;244747,7
;Ankara - Bahçelievler;HavaSicakligi;-55;27.11.2012;37,18;14.08.2019;12,77;5791;14795;39,14;11,52;73948,56
;Ankara - Bahçelievler;BagilNem;-24,99;19.03.2013;99;18.12.2019;53,78;5791;14795;39,14;19,47;311453,52
;Ankara - Bahçelievler;HavaBasinc;0,9;24.05.2013;2820;30.05.2013;907,58;5788;14795;39,12;151,55;5253074,77
;Ankara - Bahçelievler;KabinSicakligi;-10;24.02.2014;6962,58;10.02.2015;412,84;5294;14795;35,78;1158,04;2185593,75
;Ankara - Bahçelievler;PM25;0,55;3.10.2019;5844,29;4.12.2008;26,4;5246;14795;35,46;132,41;138480,2
;Ankara - Bahçelievler;RuzgarYon;-89,98;19.03.2013;358;28.10.2016;117,2;4639;14795;31,36;103,83;543710,25
;Ankara - Bahçelievler;RuzgarHizi;-12,52;19.12.2012;6,12;2.01.2010;0,62;4571;14795;30,9;2,41;2825,9
;Ankara - Bahçelievler;Yagmur;-375,04;8.12.2012;996,29;27.07.2012;277;2295;14795;15,51;267,9;635707,49
;Ankara - Bahçelievler;KabinNem;23,83;7.10.2011;61,4;12.10.2011;36,69;1699;14795;11,48;5,09;62337,34
;Ankara - Bahçelievler;PM25Debi;0,77;2.05.2019;16,68;24.07.2018;2,2;1129;14795;7,63;4,43;2478,29
;Ankara - Bahçelievler;PM10Debi;0,81;7.05.2019;16,67;3.08.2018;0,94;1026;14795;6,93;1,29;960,4
;Ankara - Bahçelievler;SampleFlow;0,91;10.12.2019;2,08;15.01.2020;1,78;263;14795;1,78;0,2;468,2
;Ankara - Bahçelievler;Enverziyon;0;7.01.2012;89;31.12.2011;34,25;61;14795;0,41;23,6;2089,37
;Ankara - Bahçelievler;O3;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;Debi;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;GunesRadyasyon;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;Sicaklik;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;Arsenik;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;BOS;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;Benzen;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;CH4;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;CO_2;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;CS_tei;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;Cd;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;Elektrik;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;EtillBenzene;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;H2S_tei;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;HC;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;Hg;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;NMHC;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;Nem;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;Ni;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;OKsilen;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;PAH_BAP;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;PM1;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;PM10Debi_2;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;Pb;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;SO2Test;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;SolarRadyasyon;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;TestChannel;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;ToplamKsilen;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;Toulen;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;UVARadyasyonu;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;UVBRadyasyon;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;mKsilen;;;;;;0;14795;0;;0
;Ankara - Bahçelievler;pKsilen;;;;;;0;14795;0;;0
Ýstasyon: Ankara - Demetevler;;;;;;;;;;;;
;Ankara - Demetevler;PM10;1,6;13.09.2019;710,73;28.12.2012;63,43;6780;14795;45,83;50,63;430070,73
;Ankara - Demetevler;SO2;0,02;19.12.2018;158,8;2.03.2011;10,8;6608;14795;44,66;9,85;71342,51
;Ankara - Demetevler;NOX;1,23;3.07.2014;1897,43;21.01.2011;106,04;6388;14795;43,18;106,84;677386,99
;Ankara - Demetevler;NO2;0,82;3.07.2014;474,85;22.01.2011;54,93;6368;14795;43,04;39,74;349765,43
;Ankara - Demetevler;NO;0,06;31.01.2015;1428,54;21.01.2011;50,03;6366;14795;43,03;79,54;318518,5
;Ankara - Demetevler;KabinSicakligi;5,13;9.01.2015;41,68;15.06.2010;16,14;6188;14795;41,82;4,97;99845,76
