Index;Tarih;PM10;SO2;CO;NO2;NOX;NO;PM25;IstasyonTipi
2;15.01.2019;32,37;5,98;648,46;54,31;83,19;28,88;10,37;Kentsel
5;15.02.2019;26,29;6,03;630,83;50,22;77,59;27,38;6,96;Kentsel
8;15.03.2019;21,77;3,65;519,71;46,3;72,33;26,13;5,3;Kentsel
11;15.04.2019;24,77;2,73;449,78;42,35;57,31;14,95;5,35;Kentsel
14;15.05.2019;58,76;3,43;370,74;37,52;49,4;11,88;8,61;Kentsel
17;15.06.2019;31,05;2,13;316,73;42,3;50,08;7,78;10,24;Kentsel
20;15.07.2019;22,97;3,64;241,39;32,99;39,98;6,99;8,23;Kentsel
23;15.08.2019;20,64;2,8;312,87;34,84;44,49;9,65;7,69;Kentsel
26;15.09.2019;29,59;5,27;457,04;40,97;62,09;21,12;7,19;Kentsel
29;15.10.2019;39,68;9,66;1288,89;60,31;128,98;67,81;16,37;Kentsel
32;15.11.2019;65,97;8,46;1483,19;86,5;203,95;117,45;33,04;Kentsel
35;15.12.2019;55,82;6,28;1178,89;68,8;156,34;86,89;32,99;Kentsel
38;15.01.2020;60,89;11,18;784,23;70,07;123,21;55,51;25,89;Kentsel
41;15.02.2020;44,91;4,53;500,72;57,6;77,98;26,91;19,4;Kentsel
44;15.03.2020;46,01;5,76;526,58;43,36;63,32;19,07;16,17;Kentsel
47;15.04.2020;40,86;5,59;378,03;30,45;37,56;7,12;14,91;Kentsel
