Index;Tarih;PM10;SO2;CO;NO2;NOX;NO;PM25;IstasyonTipi
3;2/2019;107,55;26,20;2075,89;#DIV/0!;#DIV/0!;#DIV/0!;18,62;Trafik
6;3/2019;113,57;22,32;2305,47;;;;15,50;Trafik
9;4/2019;41,97;13,74;169,22;73,80;92,40;18,60;;Trafik
12;5/2019;63,63;4,07;843,92;65,70;80,11;14,41;;Trafik
15;6/2019;28,78;5,17;680,16;39,46;45,15;5,69;;Trafik
18;7/2019;12,20;5,40;810,17;43,32;50,78;7,46;;Trafik
21;8/2019;35,51;4,18;961,97;34,54;40,46;5,92;;Trafik
24;9/2019;62,08;8,09;1168,31;120,27;168,03;47,77;;Trafik
27;10/2019;147,21;6,94;1399,63;187,84;272,67;84,83;97,58;Trafik
30;11/2019;234,24;14,61;2433,49;278,93;401,97;123,04;131,05;Trafik
33;12/2019;145,64;13,58;2219,32;130,44;249,43;118,99;165,30;Trafik
37;1/2020;137,34;19,93;2026,05;108,43;212,59;104,15;97,34;Trafik
39;2/2020;95,78;16,85;1367,20;72,75;120,00;47,17;48,07;Trafik
43;3/2020;72,67;12,31;1207,48;68,46;122,47;53,45;35,33;Trafik
46;4/2020;44,22;5,31;891,02;25,82;36,10;10,27;27,33;Trafik
