;Tarih;PM10;SO2;CO;NO2;NOX;NO;HavaSicakligi;BagilNem;PM25;IstasyonTipi;GeceGunduz;HaftasonuHaftaici;Ay;Mevsim
0;1.04.2020;63.66;5.03;462.58;26.72;33.79;7.07;13.2;58.09;18.96;0;1;1;3;0
1;31.03.2020;98.6;5.29;643.29;58.73;86.19;27.46;9.41;79.99;30.47;0;0;1;2;0
2;30.03.2020;22.44;4.13;305.33;17.91;20.12;2.22;6.14;88.69;10.98;0;0;1;2;0
3;29.03.2020;20.19;4.65;543.98;14.98;18.26;3.29;8.61;81.31;9.02;0;1;0;2;0
4;29.03.2020;11.83;4.27;361.24;15.87;18.12;2.25;6.78;94.39;7.84;0;0;0;2;0
5;28.03.2020;39.36;3.71;235.95;29.2;33.09;3.89;10.02;93.98;13.28;0;1;0;2;0
6;28.03.2020;73.31;4.2;282.74;34.88;41.74;5.31;11.04;93.87;17.18;0;0;0;2;0
7;27.03.2020;63.82;6.23;496.39;29.45;36.33;6.88;17.66;45.59;17.19;0;1;1;2;0
8;27.03.2020;66.92;6.07;394.31;39.6;48.87;9.26;11.2;60.04;19.69;0;0;1;2;0
9;26.03.2020;45.36;6.47;558.54;43.54;55.48;11.94;17.08;34.72;11.32;0;1;1;2;0
10;26.03.2020;46.74;5.51;369.28;41.41;51.56;10.15;11.12;63.36;14.34;0;0;1;2;0
11;25.03.2020;52.76;6.46;507.27;50.33;63.08;12.75;17.4;43.03;15.15;0;1;1;2;0
12;25.03.2020;72.58;5.98;510.72;67.69;83.88;16.19;10.56;77.36;23.51;0;0;1;2;0
13;24.03.2020;54.16;6.01;425.87;42.62;52.13;9.51;14.71;55.01;13.91;0;1;1;2;0
14;24.03.2020;47.86;6.18;368.49;56.47;66.76;10.3;12.05;61.76;14.03;0;0;1;2;0
15;23.03.2020;34.93;5.69;481.24;33.21;42.72;9.51;17.26;40.72;11.71;0;1;1;2;0
16;23.03.2020;72.7;6.46;849.21;75.15;116.12;40.98;10.85;59.57;20.58;0;0;1;2;0
17;22.03.2020;32.62;6.04;537.61;46.12;64.34;18.22;16.08;38.02;12.48;0;1;0;2;0
18;22.03.2020;81.9;5.93;1043.07;82.41;166.54;84.13;7.12;77.1;32.85;0;0;0;2;0
19;21.03.2020;58.48;5.76;584.34;56.64;75.96;19.32;11.5;54.61;24.04;0;1;0;2;0
20;21.03.2020;18.27;4.83;274.19;24.9;28.86;3.96;5.18;72.32;8.74;0;0;0;2;0
21;20.03.2020;13.57;5.35;467.35;34.35;40.43;6.08;6.41;62.76;12.01;0;1;1;2;0
22;20.03.2020;17.19;4.67;393.36;39.58;48.11;8.53;3.02;74.67;10.24;0;0;1;2;0
23;19.03.2020;41.74;4.82;266.54;35.99;46;10.01;4.18;75.69;19.15;0;1;1;2;0
24;19.03.2020;24.01;3.92;354.78;45.22;57.66;12.44;0.88;95.86;13.02;0;0;1;2;0
25;18.03.2020;22;5.06;422.04;25.91;31.04;5.13;3.43;61.69;12.18;0;1;1;2;0
26;17.03.2020;18.39;5.23;328.51;22.86;30.68;7.82;4.14;44.1;8.25;0;1;1;2;0
27;16.03.2020;12.08;4.28;236.03;25.12;30.15;5.03;3.97;72.61;5.89;0;1;1;2;0
28;16.03.2020;12.04;3.9;208.85;17.11;19.54;2.43;5.53;77.57;3.67;0;0;1;2;0
29;15.03.2020;58.86;6.46;528.2;35.66;47.54;11.89;15.26;50.6;13.7;0;1;0;2;0
30;15.03.2020;89.75;5.95;1144.19;81.45;175.18;93.73;11.42;52.37;27.82;0;0;0;2;0
31;14.03.2020;60.91;8.38;575.92;59.1;96.25;37.15;19.85;32.79;14.97;0;1;0;2;0
32;14.03.2020;69.44;5.92;560.68;51.13;82.78;31.65;15.35;67.1;20.74;0;0;0;2;0
33;13.03.2020;85.4;7.09;727.28;39.89;52.76;12.87;18.78;48.77;23.71;0;1;1;2;0
34;13.03.2020;40.94;5.18;397.02;32.49;37.96;5.47;12.77;56.59;12.33;0;0;1;2;0
35;12.03.2020;47.88;6.24;684.05;55.8;74.97;19.16;18.87;33.83;14.45;0;1;1;2;0
36;12.03.2020;74.24;6.08;1083.21;90.18;188.13;97.96;10.35;67.63;27.29;0;0;1;2;0
37;11.03.2020;49.65;5.35;705.55;70.55;95.15;24.6;16.14;45.55;19.31;0;1;1;2;0
38;11.03.2020;36.68;1.68;707.91;73.23;119.8;46.57;10.32;73.05;14.01;0;0;1;2;0
39;10.03.2020;25.64;1.63;477.29;41.85;52.05;10.2;14.21;54.09;9;0;1;1;2;0
40;10.03.2020;65.23;5.13;247.14;28.54;31.74;3.2;12.5;57.17;18.7;0;0;1;2;0
41;9.03.2020;65.04;7.55;656.65;54.31;76.62;22.31;20.74;31.72;22.22;0;1;1;2;0
42;9.03.2020;87.17;8.29;1003.6;91.71;163.34;71.63;13.44;51.65;25.86;0;0;1;2;0
43;8.03.2020;49.61;8.77;843.86;61.01;98.39;37.38;20.47;32.66;14.15;0;1;0;2;0
44;8.03.2020;96.44;7.06;993.78;76.86;161.72;84.86;10.29;59.47;23.99;0;0;0;2;0
45;7.03.2020;53;6.56;737.95;61.46;127.26;65.79;16.77;38.14;20.72;0;1;0;2;0
46;7.03.2020;60.49;5.83;965.32;79.26;179.31;100.05;7.92;77.9;21.27;0;0;0;2;0
47;6.03.2020;37.36;4.61;593.32;31.63;44.84;13.21;13.12;54.45;8.73;0;1;1;2;0
48;6.03.2020;35.71;4.23;248.76;28.34;38.73;10.39;9.71;74.08;14.7;0;0;1;2;0
49;5.03.2020;68.39;7.4;305.82;51.55;65.91;13.66;15.63;41.46;22.7;0;1;1;2;0
50;2.03.2020;69.16;3.91;1027.33;85.69;168.83;83.14;4.69;77.59;25.18;0;0;1;2;0
51;1.03.2020;33.89;3.46;793.88;57.18;95.64;38.46;10.47;48.39;13.22;0;1;0;2;0
52;1.03.2020;22.77;2.35;503.35;62.36;72.56;10.2;4.2;77.84;11.63;0;0;0;2;0
53;29.02.2020;31.33;3.09;376.74;42.95;53.52;10.57;8.89;64.57;17.49;0;1;0;1;1
54;29.02.2020;50.37;2.37;436.16;56.44;72.42;15.98;7.04;90.9;20.69;0;0;0;1;1
55;28.02.2020;50.42;4.19;507.79;59.13;80.85;21.72;10.91;60.31;15.63;0;1;1;1;1
56;28.02.2020;27.89;2.28;245.31;35.4;43.34;7.94;6.78;82.31;14.48;0;0;1;1;1
57;27.02.2020;43.96;2.63;280.87;34.37;42.9;8.52;11.86;60.31;17.26;0;1;1;1;1
58;27.02.2020;43.51;2.64;250.06;43.75;50.04;6.29;10.41;49.57;16.74;0;0;1;1;1
59;26.02.2020;44.88;4.92;606.62;41.49;66.38;24.88;16.15;31.74;19.87;0;1;1;1;1
60;26.02.2020;69.31;5.46;1186.94;92.5;201.51;109.01;3.97;61.73;22.28;0;0;1;1;1
61;25.02.2020;45.09;4.82;726.32;71.48;114.79;43.31;9.17;35.89;16.98;0;1;1;1;1
62;25.02.2020;22.89;2.73;220.04;33.46;48.43;12.39;5.02;61.33;11.79;0;0;1;1;1
63;24.02.2020;31.05;2.75;550.47;38.37;47.04;8.67;11.38;57.86;12.74;0;1;1;1;1
64;23.02.2020;11.8;2.54;318.02;31.84;38.52;6.88;2.34;88.49;5.62;0;0;0;1;1
65;22.02.2020;20.09;1.9;437.84;54.64;65.08;10.44;3.33;95.07;12.31;0;1;0;1;1
66;22.02.2020;15.91;1.62;416.12;42.93;47.63;4.7;3.83;96.22;7.48;0;0;0;1;1
67;21.02.2020;46.43;2.59;435.89;72.04;91.08;19.04;5.66;94.49;16.79;0;1;1;1;1
68;21.02.2020;63.59;4.8;578.73;70.62;94.28;23.66;6.45;82.89;23.07;0;0;1;1;1
69;20.02.2020;86.88;7.1;537.76;71.25;103.15;31.9;11.19;51.53;28.04;0;1;1;1;1
70;19.02.2020;92.01;8.08;846.6;88.01;182.22;94.21;10.85;48.15;31.77;0;1;1;1;1
71;19.02.2020;94.78;7.09;1342.35;97.25;219.76;122.51;3.14;77.14;31.88;0;0;1;1;1
72;18.02.2020;72.15;6.24;732.25;78.21;120.72;42.52;9.69;44.56;24.26;0;1;1;1;1
73;18.02.2020;75.2;7.51;946.69;89.93;176.29;86.36;2.51;63.12;33.87;0;0;1;1;1
74;17.02.2020;36.67;5.7;622.01;62.88;102.43;39.56;9.27;35.72;27.19;0;1;1;1;1
75;17.02.2020;38.1;4.47;624.63;61.1;97.38;36.27;3.41;80.35;18.32;0;0;1;1;1
76;16.02.2020;35.63;4.64;297.26;34.17;41.69;7.52;7.88;61.05;14.34;0;1;0;1;1
77;16.02.2020;69.29;7.63;546.24;68.44;77.4;8.96;5.29;69.89;22.86;0;0;0;1;1
78;15.02.2020;87;8.76;650.24;71.58;93.55;21.97;8.85;51.12;28.33;0;1;0;1;1
79;15.02.2020;68.14;6.86;385.02;61.06;72.12;11.07;3.45;69.87;26.84;0;0;0;1;1
80;14.02.2020;52.49;5.01;581.57;64.96;93.11;28.14;6.05;57.11;24.69;0;1;1;1;1
81;14.02.2020;58.54;4.86;906.43;92.81;162.96;70.15;0.57;77.02;25.88;0;0;1;1;1
82;13.02.2020;36.21;5.41;594.98;58.1;102.14;44.04;5.22;55.08;17.23;0;1;1;1;1
83;13.02.2020;37.39;2.9;424.94;58.25;74.78;16.52;3.04;94.68;21.57;0;0;1;1;1
84;12.02.2020;40.73;3.07;434.97;81.26;112.42;31.16;3.93;91.54;23.26;0;1;1;1;1
85;12.02.2020;93.36;4.58;906.87;93.23;192.81;99.58;2.65;95.01;42.88;0;0;1;1;1
