Yil,PM10,SO2,CO,NO2,NOX,NO,HavaSicakligi,BagilNem,KabinSicakligi,KabinNem,PM25,IstasyonTipi,Gece/Gunduz,Haftasonu/Haftaici,Ay,Mevsim
2020,63.66,5.03,462.58,26.72,33.79,7.07,13.2,58.09,20.38,29.58,18.96,Kentsel,Gunduz,Haftaici,4,Ilkbahar
2020,51.58,4.83,265.88,31.94,110.38,79.66,10.04,69.05,20.28,29.42,18.41,Kentsel,Gece,Haftaici,4,Ilkbahar
2020,44.82,5.49,503.17,34.59,45.96,11.37,15.65,41.48,20.42,29.65,15.31,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,98.6,5.29,643.29,58.73,86.19,27.46,9.41,79.99,20.31,29.48,30.47,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,63.2,4.95,580.92,22.48,156.76,148.14,11.59,66.87,20.38,29.58,24.48,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,22.44,4.13,305.33,17.91,20.12,2.22,6.14,88.69,20.29,29.44,10.98,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,20.19,4.65,543.98,14.98,18.26,3.29,8.61,81.31,20.3,29.45,9.02,Kentsel,Gunduz,Haftasonu,3,Ilkbahar
2020,11.83,4.27,361.24,15.87,18.12,2.25,6.78,94.39,20.28,29.42,7.84,Kentsel,Gece,Haftasonu,3,Ilkbahar
2020,39.36,3.71,235.95,29.2,33.09,3.89,10.02,93.98,20.29,29.45,13.28,Kentsel,Gunduz,Haftasonu,3,Ilkbahar
2020,73.31,4.2,282.74,34.88,41.74,5.31,11.04,93.87,20.29,29.43,17.18,Kentsel,Gece,Haftasonu,3,Ilkbahar
2020,63.82,6.23,496.39,29.45,36.33,6.88,17.66,45.59,20.42,29.66,17.19,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,66.92,6.07,394.31,39.6,48.87,9.26,11.2,60.04,20.32,29.49,19.69,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,45.36,6.47,558.54,43.54,55.48,11.94,17.08,34.72,20.44,29.69,11.32,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,46.74,5.51,369.28,41.41,51.56,10.15,11.12,63.36,20.34,29.53,14.34,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,52.76,6.46,507.27,50.33,63.08,12.75,17.4,43.03,20.43,29.68,15.15,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,72.58,5.98,510.72,67.69,83.88,16.19,10.56,77.36,20.3,29.46,23.51,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,54.16,6.01,425.87,42.62,52.13,9.51,14.71,55.01,20.36,29.56,13.91,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,47.86,6.18,368.49,56.47,66.76,10.3,12.05,61.76,20.31,29.48,14.03,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,34.93,5.69,481.24,33.21,42.72,9.51,17.26,40.72,20.41,29.65,11.71,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,72.7,6.46,849.21,75.15,116.12,40.98,10.85,59.57,20.31,29.47,20.58,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,32.62,6.04,537.61,46.12,64.34,18.22,16.08,38.02,20.42,29.67,12.48,Kentsel,Gunduz,Haftasonu,3,Ilkbahar
2020,81.9,5.93,1043.07,82.41,166.54,84.13,7.12,77.1,20.29,29.44,32.85,Kentsel,Gece,Haftasonu,3,Ilkbahar
2020,58.48,5.76,584.34,56.64,75.96,19.32,11.5,54.61,20.38,29.6,24.04,Kentsel,Gunduz,Haftasonu,3,Ilkbahar
2020,18.27,4.83,274.19,24.9,28.86,3.96,5.18,72.32,20.27,29.42,8.74,Kentsel,Gece,Haftasonu,3,Ilkbahar
2020,13.57,5.35,467.35,34.35,40.43,6.08,6.41,62.76,20.33,29.51,12.01,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,17.19,4.67,393.36,39.58,48.11,8.53,3.02,74.67,20.3,29.46,10.24,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,41.74,4.82,266.54,35.99,46.0,10.01,4.18,75.69,20.27,29.41,19.15,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,24.01,3.92,354.78,45.22,57.66,12.44,0.88,95.86,20.24,29.36,13.02,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,22.0,5.06,422.04,25.91,31.04,5.13,3.43,61.69,20.31,29.47,12.18,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,17.06,7.76,243.02,27.43,33.35,5.91,-0.51,59.12,20.23,29.34,13.69,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,18.39,5.23,328.51,22.86,30.68,7.82,4.14,44.1,20.3,29.46,8.25,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,18.95,6.55,76.25,17.9,21.14,3.24,-1.25,67.27,20.23,29.34,4.99,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,12.08,4.28,236.03,25.12,30.15,5.03,3.97,72.61,20.26,29.38,5.89,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,12.04,3.9,208.85,17.11,19.54,2.43,5.53,77.57,20.27,29.4,3.67,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,58.86,6.46,528.2,35.66,47.54,11.89,15.26,50.6,20.39,29.61,13.7,Kentsel,Gunduz,Haftasonu,3,Ilkbahar
2020,89.75,5.95,1144.19,81.45,175.18,93.73,11.42,52.37,20.33,29.51,27.82,Kentsel,Gece,Haftasonu,3,Ilkbahar
2020,60.91,8.38,575.92,59.1,96.25,37.15,19.85,32.79,20.46,29.73,14.97,Kentsel,Gunduz,Haftasonu,3,Ilkbahar
2020,69.44,5.92,560.68,51.13,82.78,31.65,15.35,67.1,20.32,29.49,20.74,Kentsel,Gece,Haftasonu,3,Ilkbahar
2020,85.4,7.09,727.28,39.89,52.76,12.87,18.78,48.77,20.44,29.69,23.71,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,40.94,5.18,397.02,32.49,37.96,5.47,12.77,56.59,20.29,29.44,12.33,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,47.88,6.24,684.05,55.8,74.97,19.16,18.87,33.83,20.43,29.67,14.45,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,74.24,6.08,1083.21,90.18,188.13,97.96,10.35,67.63,20.29,29.44,27.29,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,49.65,5.35,705.55,70.55,95.15,24.6,16.14,45.55,20.39,29.61,19.31,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,36.68,1.68,707.91,73.23,119.8,46.57,10.32,73.05,20.32,29.49,14.01,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,25.64,1.63,477.29,41.85,52.05,10.2,14.21,54.09,20.4,29.63,9.0,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,65.23,5.13,247.14,28.54,31.74,3.2,12.5,57.17,20.35,29.53,18.7,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,65.04,7.55,656.65,54.31,76.62,22.31,20.74,31.72,20.46,29.73,22.22,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,87.17,8.29,1003.6,91.71,163.34,71.63,13.44,51.65,20.31,29.48,25.86,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,49.61,8.77,843.86,61.01,98.39,37.38,20.47,32.66,20.47,29.73,14.15,Kentsel,Gunduz,Haftasonu,3,Ilkbahar
2020,96.44,7.06,993.78,76.86,161.72,84.86,10.29,59.47,20.33,29.51,23.99,Kentsel,Gece,Haftasonu,3,Ilkbahar
2020,53.0,6.56,737.95,61.46,127.26,65.79,16.77,38.14,20.43,29.67,20.72,Kentsel,Gunduz,Haftasonu,3,Ilkbahar
2020,60.49,5.83,965.32,79.26,179.31,100.05,7.92,77.9,20.31,29.48,21.27,Kentsel,Gece,Haftasonu,3,Ilkbahar
2020,37.36,4.61,593.32,31.63,44.84,13.21,13.12,54.45,20.4,29.63,8.73,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,35.71,4.23,248.76,28.34,38.73,10.39,9.71,74.08,20.33,29.51,14.7,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,68.39,7.4,305.82,51.55,65.91,13.66,15.63,41.46,20.42,29.66,22.7,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,70.28,7.46,5899.52,78.54,136.45,57.91,12.02,47.81,20.34,29.52,25.7,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,59.24,7.48,2609.74,52.32,79.81,27.5,17.18,34.9,20.43,29.68,21.39,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,117.7,10.09,907.13,83.86,168.49,84.64,10.79,61.05,20.36,29.56,33.2,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,67.91,9.94,3912.72,164.94,558.38,393.45,16.55,40.64,20.46,29.72,41.43,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,69.16,3.91,1027.33,85.69,168.83,83.14,4.69,77.59,20.29,29.45,25.18,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,33.89,3.46,793.88,57.18,95.64,38.46,10.47,48.39,20.41,29.64,13.22,Kentsel,Gunduz,Haftasonu,3,Ilkbahar
2020,22.77,2.35,503.35,62.36,72.56,10.2,4.2,77.84,20.32,29.5,11.63,Kentsel,Gece,Haftasonu,3,Ilkbahar
2020,31.33,3.09,376.74,42.95,53.52,10.57,8.89,64.57,20.39,29.61,17.49,Kentsel,Gunduz,Haftasonu,2,Kis
2020,50.37,2.37,436.16,56.44,72.42,15.98,7.04,90.9,20.28,29.43,20.69,Kentsel,Gece,Haftasonu,2,Kis
2020,50.42,4.19,507.79,59.13,80.85,21.72,10.91,60.31,20.36,29.57,15.63,Kentsel,Gunduz,Haftaici,2,Kis
2020,27.89,2.28,245.31,35.4,43.34,7.94,6.78,82.31,20.33,29.52,14.48,Kentsel,Gece,Haftaici,2,Kis
2020,43.96,2.63,280.87,34.37,42.9,8.52,11.86,60.31,20.39,29.61,17.26,Kentsel,Gunduz,Haftaici,2,Kis
2020,43.51,2.64,250.06,43.75,50.04,6.29,10.41,49.57,20.3,29.46,16.74,Kentsel,Gece,Haftaici,2,Kis
2020,44.88,4.92,606.62,41.49,66.38,24.88,16.15,31.74,20.48,29.75,19.87,Kentsel,Gunduz,Haftaici,2,Kis
2020,69.31,5.46,1186.94,92.5,201.51,109.01,3.97,61.73,20.28,29.42,22.28,Kentsel,Gece,Haftaici,2,Kis
2020,45.09,4.82,726.32,71.48,114.79,43.31,9.17,35.89,20.39,29.61,16.98,Kentsel,Gunduz,Haftaici,2,Kis
2020,22.89,2.73,220.04,33.46,48.43,12.39,5.02,61.33,20.26,29.39,11.79,Kentsel,Gece,Haftaici,2,Kis
2020,31.05,2.75,550.47,38.37,47.04,8.67,11.38,57.86,20.38,29.59,12.74,Kentsel,Gunduz,Haftaici,2,Kis
2020,14.41,1.88,420.47,39.31,48.45,9.15,8.86,80.66,20.36,29.55,10.17,Kentsel,Gece,Haftaici,2,Kis
2020,31.88,3.46,664.05,51.05,66.78,15.74,27.49,50.64,20.36,29.56,10.61,Kentsel,Gunduz,Haftasonu,2,Kis
2020,11.8,2.54,318.02,31.84,38.52,6.88,2.34,88.49,20.27,29.4,5.62,Kentsel,Gece,Haftasonu,2,Kis
2020,20.09,1.9,437.84,54.64,65.08,10.44,3.33,95.07,20.25,29.38,12.31,Kentsel,Gunduz,Haftasonu,2,Kis
2020,15.91,1.62,416.12,42.93,47.63,4.7,3.83,96.22,20.24,29.35,7.48,Kentsel,Gece,Haftasonu,2,Kis
2020,46.43,2.59,435.89,72.04,91.08,19.04,5.66,94.49,20.29,29.43,16.79,Kentsel,Gunduz,Haftaici,2,Kis
2020,63.59,4.8,578.73,70.62,94.28,23.66,6.45,82.89,20.29,29.44,23.07,Kentsel,Gece,Haftaici,2,Kis
