Tarih;PM10;SO2;CO;NO2;NOX;NO;PM25;IstasyonTipi;Haftasonu/Haftaici;Ay;Yil
;;;;;;;;;;;
;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;;;
28.02.2019;10,46;4,79;469,61;27,09;35,01;7,92;4,95;Kentsel;Haftaici;2;2019
27.02.2019;17,82;1,58;396,95;35,14;43,9;8,76;3,46;Kentsel;Haftaici;2;2019
26.02.2019;25,72;4,52;426,05;42,61;54,91;12,3;9,85;Kentsel;Haftaici;2;2019
25.02.2019;;2,44;642,36;42,84;57,34;14,49;;Kentsel;Haftaici;2;2019
22.02.2019;34,52;5,24;1281,93;71,05;122,77;51,72;;Kentsel;Haftaici;2;2019
21.02.2019;42,19;16,8;417,72;47,91;64,5;16,59;13,01;Kentsel;Haftaici;2;2019
20.02.2019;44,6;7,35;973,74;67,58;167,74;100,16;9,17;Kentsel;Haftaici;2;2019
19.02.2019;31,25;11,27;797,32;57,23;109,28;52,05;12,68;Kentsel;Haftaici;2;2019
18.02.2019;33,51;20,44;477,12;50,7;78,79;28,09;10,14;Kentsel;Haftaici;2;2019
17.02.2019;30,2;5,15;1041,91;68,53;132,8;64,27;10,99;Kentsel;Haftasonu ;2;2019
16.02.2019;12,58;3,09;466,86;42,78;57,32;14,54;3;Kentsel;Haftasonu ;2;2019
15.02.2019;12,43;2,89;413,01;33,12;42,34;9,22;2,61;Kentsel;Haftaici;2;2019
14.02.2019;12,42;2,7;403,77;24,88;34,81;9,93;2,82;Kentsel;Haftaici;2;2019
13.02.2019;18,25;5;441,18;40,08;50,8;10,72;7,55;Kentsel;Haftaici;2;2019
11.02.2019;19,98;3,85;562,17;44,2;69,8;25,6;5,66;Kentsel;Haftaici;2;2019
10.02.2019;14,61;3,09;489,47;44,01;56,55;12,55;4,63;Kentsel;Haftasonu ;2;2019
9.02.2019;16,69;3,26;502,4;49,83;65,49;15,65;2,79;Kentsel;Haftasonu ;2;2019
8.02.2019;22,66;2,38;707,8;58,48;85,93;27,46;6,04;Kentsel;Haftaici;2;2019
7.02.2019;13,84;2,18;687,91;57,7;88,4;30,7;4,66;Kentsel;Haftaici;2;2019
6.02.2019;28,54;5,85;686,1;62,26;89,01;26,75;5,05;Kentsel;Haftaici;2;2019
5.02.2019;44,71;9,37;710,6;68,39;98,26;29,87;7,85;Kentsel;Haftaici;2;2019
4.02.2019;74,62;8,89;965,84;77,18;124,82;47,64;16,09;Kentsel;Haftaici;2;2019
