Ozellik;Max;Min;Ort;Standart Sapma;
Sayi;11282;0;5641.00;3257.265878;
PM10;498.09;4.85;72.800264;48.813362;
SO2;137.11;0.2;10.361644;9.347215;
CO;303943.39;0.2;1166.521274;2950.022229;
NO2;819.79;0.01;62.861151;38.336731;
NOX;1394.87;0.03;127.060700;91.712177;
NO;651.21;0;63.966081;66.393039;
HavaSicakligi;38.59;-9.59;14.586014;8.267192;
BagilNem;107.33;-24.99;53.581078;17.828828;
PM25;5844.29;0.85;30.832631;92.104222;
IstasyonTipi;2;0;1.041567;0.742838;
GeceGunduz;1;0;0.507755;0.499962;
HaftasonuHaftaici;1;0;0.718337;0.449830;
Ay;11;0;5.665249;3.585962;
Mevsim;3;0;1.493486;1.093172;
